     object_group     |      object_type      | object_count |   status    |                             notes                              
----------------------+-----------------------+--------------+-------------+----------------------------------------------------------------
 Core Objects         | INDEX                 |           21 | PRESENT     | User schemas only
 Core Objects         | MVIEW                 |            1 | PRESENT     | User schemas only
 Core Objects         | SEQUENCE              |           11 | PRESENT     | User schemas only
 Core Objects         | TABLE                 |           18 | PRESENT     | User schemas only
 Core Objects         | VIEW                  |            3 | PRESENT     | User schemas only
 External Integration | KETTLE                |            0 | NOT_PRESENT | Detected via application_name patterns in pg_stat_activity
 Federation           | FDW_SERVER            |            0 | NOT_PRESENT | Foreign servers configured
 Migration Mapping    | PACKAGE               |            0 | NOT_PRESENT | Not native in PostgreSQL; map to schema + functions/procedures
 Migration Mapping    | SYNONYM               |            0 | NOT_PRESENT | Not native in PostgreSQL; map to views/search_path patterns
 Partitioning         | PARTITION             |            4 | PRESENT     | Tables participating as partition child
 Partitioning         | PARTITIONED_TABLE     |            1 | PRESENT     | relkind=p
 Programmability      | FUNCTION              |            5 | PRESENT     | prokind=f in user schemas
 Programmability      | PROCEDURE             |            1 | PRESENT     | prokind=p in user schemas
 Programmability      | TRIGGER               |            1 | PRESENT     | User-defined triggers
 Schema Modeling      | TYPE                  |            1 | PRESENT     | User-defined types
 Security             | GRANT_TABLE_PRIVILEGE |          158 | PRESENT     | Rows from information_schema.table_privileges
 Storage              | TABLESPACE            |            2 | PRESENT     | Includes default + custom tablespaces
(17 rows)

